"","LASSO","Ridge","Elastic","Unpenalized","sparsity","prop_small","num_obs"
"7567",1.03453447511801,1.03196351105693,1.03453447511801,1.12222608841746,0.5,1,800
"7568",0.988355767520506,0.988717698884531,0.988355767520506,1.15527376523372,0.5,1,800
"7569",1.0017698722287,1.00290404801369,1.0017698722287,1.17963372600576,0.5,1,800
"7570",0.98932880586648,0.987277247452024,0.988088488625207,1.09027044918101,0.5,1,800
"7571",0.951013867579641,0.950587297778271,0.952496334010976,1.08020459376809,0.5,1,800
"7572",1.02039768155823,1.02054756764031,1.02039768155823,1.15176668234735,0.5,1,800
"7573",0.987217262192639,0.978789931177625,0.986337727987258,1.14748065336463,0.5,1,800
"7574",1.00954163805632,1.00964848778046,1.00954163805632,1.12342143833781,0.5,1,800
"7575",0.972379276661848,0.968148222455407,0.967537339431036,1.10096880673693,0.5,1,800
"7576",1.01445860789505,1.0140190887571,1.01445860789505,1.16868089505623,0.5,1,800
"7577",0.938406437579199,0.943564258107411,0.938406437579199,1.11443502296201,0.5,1,800
"7578",1.00513286661604,0.998919198720312,1.00648465381364,1.12440685888404,0.5,1,800
"7579",0.987606608178696,0.978297095198408,0.993033914408501,1.13817034560938,0.5,1,800
"7580",0.984342336311976,0.984458111419971,0.984342336311976,1.12384580899783,0.5,1,800
"7581",1.02062200227368,1.02058063717543,1.02062200227368,1.14297621765913,0.5,1,800
"7582",0.982971956662956,0.982371108319872,0.982366298337432,1.11593506820592,0.5,1,800
"7583",0.989639048934575,0.97758732407196,0.988516604637397,1.11492829600476,0.5,1,800
"7584",1.05744002711969,1.05745542203312,1.05744002711969,1.19766637688632,0.5,1,800
"7585",0.937674043707839,0.938256171031568,0.937674043707839,1.08878687683892,0.5,1,800
"7586",0.941095221024266,0.94127304663609,0.944487027547965,1.10251536065332,0.5,1,800
"7587",1.02223054505482,1.01854594212124,1.02223054505482,1.10397465820471,0.5,1,800
"7588",1.03945050912103,1.03947531752532,1.03945050912103,1.1361624851372,0.5,1,800
"7589",1.07917649204907,1.07924617932516,1.07917649204907,1.19742625848678,0.5,1,800
"7590",0.965277027380453,0.963274180034698,0.96617111601876,1.11678604330698,0.5,1,800
"7591",1.02656091492006,1.02674340332339,1.02656091492006,1.21194984054209,0.5,1,800
"7592",0.960901143172229,0.951521262892065,0.960082446171447,1.11270349890088,0.5,1,800
"7593",1.05152130240155,1.04664355248973,1.05046770977464,1.19652848812146,0.5,1,800
"7594",1.0258541347391,1.02573172538401,1.0258541347391,1.14754008816328,0.5,1,800
"7595",0.882477507514152,0.881259943755997,0.881197079168029,1.01383774937865,0.5,1,800
"7596",1.04139185349106,1.0417090809187,1.0413399040207,1.18272707473191,0.5,1,800
"7597",0.977444281204495,0.977076391603576,0.977444281204495,1.10875924089209,0.5,1,800
"7598",0.991147981534936,0.991110939877383,0.991147981534936,1.10056454047036,0.5,1,800
"7599",0.99648435019322,0.996291354962716,0.996759171954854,1.09645206165562,0.5,1,800
"7600",0.978812701886296,0.972593906458703,0.972377253908105,1.12882827406987,0.5,1,800
"7601",1.03010101579421,1.03022597540476,1.03010101579421,1.10061209827095,0.5,1,1600
"7602",0.980806053416007,0.980773523900865,0.981714714192871,1.03330125133453,0.5,1,1600
"7603",0.941712126872878,0.939742984575242,0.942981571816336,1.01831468235931,0.5,1,1600
"7604",0.896295044023279,0.897271669810905,0.896295044023279,0.982296891566974,0.5,1,1600
"7605",0.966931519337454,0.966684782175417,0.966931519337454,1.01606394428257,0.5,1,1600
"7606",0.969870598334015,0.968588479865531,0.970871067225264,1.03185962483991,0.5,1,1600
